x,y,N
-18.400045,2.3999015,185
-18.400097,3.2000933,185
-18.4001,3.9999397,185
-18.399912,4.8000118,185
-18.400045,5.6000875,267
-18.400033,6.3999834,267
-18.399962,7.2000946,267
-18.399961,7.9999633,267
-18.399999,8.8000699,267
-18.40003,9.6000417,267
-18.399903,10.399977,337
-18.400051,11.200099,337
-18.400017,12.000017,337
-18.400013,12.800094,337
-18.399918,13.599988,337
-18.400044,14.400001,337
-18.400078,15.199956,355
-18.399933,15.999907,355
-18.39997,16.800027,355
-18.400064,17.60001,355
-18.400081,18.400062,355
-18.399913,19.199981,355
-18.400044,20.000041,355
-18.400018,20.800032,355
-17.599927,-19.999943,168
-17.599921,-19.199905,168
-17.6,-18.400085,168
-17.59993,-17.600099,168
-17.599922,-16.800011,168
-17.600087,-16.000081,168
-17.59997,-15.200052,160
-17.60004,-14.399932,160
-17.599988,-13.600078,160
-17.600074,-12.800086,160
-17.599932,-11.999946,160
-17.600032,-11.199977,160
-17.600067,-10.400067,160
-17.600033,-9.6000102,162
-17.599955,-8.8000051,162
-17.600068,-8.0000437,162
-17.599979,-7.2000294,162
-17.59998,-6.4000942,161
-17.599911,-5.6000463,161
-17.599958,-4.8000642,161
-17.599927,-3.9999431,161
-17.600077,-3.1999769,161
-17.600027,-2.4000298,167
-17.600024,-1.6000579,167
-17.600086,-0.79997103,167
-17.60005,3.9756858e-5,167
-17.600068,0.79990043,175
-17.599973,1.6000278,175
-17.600021,2.4000813,175
-17.600012,3.2000016,175
-17.600027,3.9999975,175
-17.599907,4.8000161,187
-17.600022,5.600068,187
-17.600018,6.3999423,187
-17.599924,7.1999417,267
-17.600059,8.0000871,267
-17.600025,8.7999306,267
-17.599991,9.5999715,268
-17.599967,10.39994,337
-17.600036,11.200029,337
-17.600073,11.999924,337
-17.599906,12.800023,337
-17.599957,13.599945,337
-17.6001,14.400016,337
-17.600039,15.199948,355
-17.600025,16.000063,355
-17.599977,16.799927,355
-17.600069,17.59993,355
-17.600008,18.399986,355
-17.600022,19.200027,355
-17.599967,20.00005,355
-17.600041,20.800009,355
-16.799945,-20.000006,159
-16.799931,-19.19996,159
-16.800047,-18.399943,159
-16.799935,-17.599964,159
-16.799913,-16.800057,168
-16.800077,-15.999949,168
-16.800028,-15.200021,160
-16.800006,-14.399908,160
-16.800092,-13.600046,160
-16.800022,-12.800063,160
-16.799949,-12.000017,160
-16.800024,-11.200002,160
-16.800055,-10.399911,160
-16.799959,-9.5999007,154
-16.799918,-8.8000456,154
-16.800083,-8.0000781,154
-16.799933,-7.1999438,161
-16.799982,-6.4000569,161
-16.799947,-5.6000179,161
-16.800095,-4.7999253,161
-16.800022,-3.9999379,161
-16.799918,-3.1999187,161
-16.80006,-2.3999094,167
-16.799982,-1.5999552,167
-16.800035,-0.79996687,167
-16.800012,8.921176e-5,167
-16.799929,0.7999461,175
